Region;Federal District;Date;Cases;Deaths
Northwestern Federal District;Northwestern Federal District;06.05.2020;312;
Volga Federal District;Volga Federal District;06.05.2020;98;
Far Eastern Federal District;Far Eastern Federal District;06.05.2020;;
Ural federal district;Ural federal district;06.05.2020;76;
Southern Federal District;Southern Federal District;06.05.2020;6;
Central Federal District;Central Federal District;06.05.2020;1;
North Caucasus Federal District;North Caucasus Federal District;06.05.2020;40;
Central Federal District;Central Federal District;06.05.2020;62;1
Central Federal District;Central Federal District;06.05.2020;44;
Siberian Federal District;Siberian Federal District;06.05.2020;13;
Central Federal District;Central Federal District;06.05.2020;77;
Ural federal district;Ural federal district;06.05.2020;69;
Volga Federal District;Volga Federal District;06.05.2020;12;
Volga Federal District;Volga Federal District;06.05.2020;29;
Far Eastern Federal District;Far Eastern Federal District;06.05.2020;39;
Ural federal district;Ural federal district;06.05.2020;29;
Ural federal district;Ural federal district;06.05.2020;44;
North Caucasus Federal District;North Caucasus Federal District;06.05.2020;30;
Far Eastern Federal District;Far Eastern Federal District;06.05.2020;1;
Ural federal district;Ural federal district;06.05.2020;105;
Central Federal District;Central Federal District;06.05.2020;51;
Altai region;Siberian Federal District;07.05.2020;17;
Amur region;Far Eastern Federal District;07.05.2020;6;
Arhangelsk region;Northwestern Federal District;07.05.2020;25;
Astrakhan region;Southern Federal District;07.05.2020;25;
Belgorod region;Central Federal District;07.05.2020;34;1
Bryansk region;Central Federal District;07.05.2020;75;
Vladimir region;Central Federal District;07.05.2020;78;
Volgograd region;Southern Federal District;07.05.2020;64;
Vologda Region;Northwestern Federal District;07.05.2020;5;
Voronezh region;Central Federal District;07.05.2020;34;
Jewish Autonomous Region;Far Eastern Federal District;07.05.2020;6;
Zabaykalsky Krai;Far Eastern Federal District;07.05.2020;16;
Ivanovo region;Central Federal District;07.05.2020;58;
Irkutsk region;Siberian Federal District;07.05.2020;6;
Kabardino-Balkarian Republic;North Caucasus Federal District;07.05.2020;83;
Kaliningrad region;Northwestern Federal District;07.05.2020;16;
Kaluga region;Central Federal District;07.05.2020;79;1
Kamchatka Krai;Far Eastern Federal District;07.05.2020;2;
Karachay-Cherkess Republic;North Caucasus Federal District;07.05.2020;6;
Kemerovo region;Siberian Federal District;07.05.2020;18;
Kirov region;Volga Federal District;07.05.2020;25;
Kostroma region;Central Federal District;07.05.2020;18;
Krasnodar region;Southern Federal District;07.05.2020;99;
Krasnoyarsk region;Siberian Federal District;07.05.2020;23;
Kurgan region;Ural federal district;07.05.2020;5;
Kursk region;Central Federal District;07.05.2020;68;
Leningrad region;Northwestern Federal District;07.05.2020;63;
Lipetsk region;Central Federal District;07.05.2020;47;
Magadan Region;Far Eastern Federal District;07.05.2020;2;
Moscow;Central Federal District;07.05.2020;6703;39
Moscow region;Central Federal District;07.05.2020;842;15
Murmansk region;Northwestern Federal District;07.05.2020;35;
Nenets Autonomous Okrug;Northwestern Federal District;07.05.2020;1;
Nizhny Novgorod Region;Volga Federal District;07.05.2020;312;7
Novgorod region;Northwestern Federal District;07.05.2020;21;
Novosibirsk region;Siberian Federal District;07.05.2020;67;1
Omsk region;Siberian Federal District;07.05.2020;11;1
Orenburg region;Volga Federal District;07.05.2020;31;
Oryol Region;Central Federal District;07.05.2020;52;
Penza region;Volga Federal District;07.05.2020;34;
Perm region;Volga Federal District;07.05.2020;26;1
Primorsky Krai;Far Eastern Federal District;07.05.2020;43;2
Pskov region;Northwestern Federal District;07.05.2020;17;
Republic of Adygea;Southern Federal District;07.05.2020;4;
Altai Republic;Siberian Federal District;07.05.2020;2;
Republic of Bashkortostan;Volga Federal District;07.05.2020;83;
Republic of Buryatia;Far Eastern Federal District;07.05.2020;49;
Republic of Dagestan;North Caucasus Federal District;07.05.2020;105;1
Republic of Ingushetia;North Caucasus Federal District;07.05.2020;49;1
Republic of Kalmykia;Southern Federal District;07.05.2020;28;
Republic of Karelia;Northwestern Federal District;07.05.2020;9;
Komi Republic;Northwestern Federal District;07.05.2020;56;4
Republic of Crimea;Southern Federal District;07.05.2020;32;1
Mari El Republic;Volga Federal District;07.05.2020;31;
The Republic of Mordovia;Volga Federal District;07.05.2020;41;1
The Republic of Sakha (Yakutia);Far Eastern Federal District;07.05.2020;37;
Republic of North Ossetia - Alania;North Caucasus Federal District;07.05.2020;89;
Republic of Tatarstan;Volga Federal District;07.05.2020;105;1
Tyva Republic;Siberian Federal District;07.05.2020;4;
The Republic of Khakassia;Siberian Federal District;07.05.2020;12;
Chuvash Republic;Volga Federal District;07.05.2020;58;
Rostov region;Southern Federal District;07.05.2020;80;
Ryazan Oblast;Central Federal District;07.05.2020;86;
Samara Region;Volga Federal District;07.05.2020;67;2
St. Petersburg;Northwestern Federal District;07.05.2020;306;4
Saratov region;Volga Federal District;07.05.2020;41;1
Sakhalin Oblast;Far Eastern Federal District;07.05.2020;2;
Sverdlovsk region;Ural federal district;07.05.2020;76;
Sevastopol;Southern Federal District;07.05.2020;6;
Smolensk region;Central Federal District;07.05.2020;55;
Stavropol region;North Caucasus Federal District;07.05.2020;23;
Tambov Region;Central Federal District;07.05.2020;75;
Tver region;Central Federal District;07.05.2020;16;
Tomsk region;Siberian Federal District;07.05.2020;2;
Tula region;Central Federal District;07.05.2020;85;1
Tyumen region;Ural federal district;07.05.2020;25;1
Udmurtia;Volga Federal District;07.05.2020;;
Ulyanovsk region;Volga Federal District;07.05.2020;32;
Khabarovsk region;Far Eastern Federal District;07.05.2020;43;
Khanty-Mansi Autonomous Okrug;Ural federal district;07.05.2020;14;
Chelyabinsk region;Ural federal district;07.05.2020;27;
Chechen Republic;North Caucasus Federal District;07.05.2020;29;
Chukotka Autonomous Okrug;Far Eastern Federal District;07.05.2020;1;
Yamal-Nenets Autonomous Okrug;Ural federal district;07.05.2020;93;
Yaroslavskaya oblast;Central Federal District;07.05.2020;55;
Siberian Federal District;Siberian Federal District;08.05.2020;16;
Far Eastern Federal District;Far Eastern Federal District;08.05.2020;11;
Northwestern Federal District;Northwestern Federal District;08.05.2020;18;
Southern Federal District;Southern Federal District;08.05.2020;40;
Central Federal District;Central Federal District;08.05.2020;39;
Central Federal District;Central Federal District;08.05.2020;72;5
Central Federal District;Central Federal District;08.05.2020;45;
Southern Federal District;Southern Federal District;08.05.2020;80;
Northwestern Federal District;Northwestern Federal District;08.05.2020;12;
Central Federal District;Central Federal District;08.05.2020;35;
Far Eastern Federal District;Far Eastern Federal District;08.05.2020;11;
Far Eastern Federal District;Far Eastern Federal District;08.05.2020;8;
Central Federal District;Central Federal District;08.05.2020;58;
Siberian Federal District;Siberian Federal District;08.05.2020;18;
North Caucasus Federal District;North Caucasus Federal District;08.05.2020;81;
Northwestern Federal District;Northwestern Federal District;08.05.2020;38;
Central Federal District;Central Federal District;08.05.2020;78;
Far Eastern Federal District;Far Eastern Federal District;08.05.2020;3;
North Caucasus Federal District;North Caucasus Federal District;08.05.2020;15;1
Siberian Federal District;Siberian Federal District;08.05.2020;6;1
Volga Federal District;Volga Federal District;08.05.2020;32;
Central Federal District;Central Federal District;08.05.2020;22;
Southern Federal District;Southern Federal District;08.05.2020;99;
Siberian Federal District;Siberian Federal District;08.05.2020;31;
Ural federal district;Ural federal district;08.05.2020;4;
Central Federal District;Central Federal District;08.05.2020;71;2
Northwestern Federal District;Northwestern Federal District;08.05.2020;91;1
Central Federal District;Central Federal District;08.05.2020;49;
Far Eastern Federal District;Far Eastern Federal District;08.05.2020;8;
Central Federal District;Central Federal District;08.05.2020;5846;51
Central Federal District;Central Federal District;08.05.2020;918;19
Northwestern Federal District;Northwestern Federal District;08.05.2020;50;
Northwestern Federal District;Northwestern Federal District;08.05.2020;1;
Volga Federal District;Volga Federal District;08.05.2020;276;
Northwestern Federal District;Northwestern Federal District;08.05.2020;19;
Siberian Federal District;Siberian Federal District;08.05.2020;73;
Siberian Federal District;Siberian Federal District;08.05.2020;15;2
Volga Federal District;Volga Federal District;08.05.2020;49;1
Central Federal District;Central Federal District;08.05.2020;58;
Volga Federal District;Volga Federal District;08.05.2020;43;
Volga Federal District;Volga Federal District;08.05.2020;20;
Far Eastern Federal District;Far Eastern Federal District;08.05.2020;36;
Northwestern Federal District;Northwestern Federal District;08.05.2020;27;
Southern Federal District;Southern Federal District;08.05.2020;6;
Siberian Federal District;Siberian Federal District;08.05.2020;1;
Volga Federal District;Volga Federal District;08.05.2020;89;
Far Eastern Federal District;Far Eastern Federal District;08.05.2020;19;
North Caucasus Federal District;North Caucasus Federal District;08.05.2020;96;1
North Caucasus Federal District;North Caucasus Federal District;08.05.2020;41;
Southern Federal District;Southern Federal District;08.05.2020;26;
Northwestern Federal District;Northwestern Federal District;08.05.2020;13;
Northwestern Federal District;Northwestern Federal District;08.05.2020;11;
Southern Federal District;Southern Federal District;08.05.2020;8;
Volga Federal District;Volga Federal District;08.05.2020;31;
Volga Federal District;Volga Federal District;08.05.2020;37;2
Far Eastern Federal District;Far Eastern Federal District;08.05.2020;52;
North Caucasus Federal District;North Caucasus Federal District;08.05.2020;94;
Volga Federal District;Volga Federal District;08.05.2020;83;
Siberian Federal District;Siberian Federal District;08.05.2020;1;
Siberian Federal District;Siberian Federal District;08.05.2020;15;
Volga Federal District;Volga Federal District;08.05.2020;68;
Southern Federal District;Southern Federal District;08.05.2020;80;4
Central Federal District;Central Federal District;08.05.2020;79;
Volga Federal District;Volga Federal District;08.05.2020;59;
Northwestern Federal District;Northwestern Federal District;08.05.2020;375;4
Volga Federal District;Volga Federal District;08.05.2020;74;
Far Eastern Federal District;Far Eastern Federal District;08.05.2020;;
Ural federal district;Ural federal district;08.05.2020;155;
Southern Federal District;Southern Federal District;08.05.2020;8;
Central Federal District;Central Federal District;08.05.2020;56;
North Caucasus Federal District;North Caucasus Federal District;08.05.2020;56;
Central Federal District;Central Federal District;08.05.2020;85;
Central Federal District;Central Federal District;08.05.2020;15;
Siberian Federal District;Siberian Federal District;08.05.2020;14;1
Central Federal District;Central Federal District;08.05.2020;90;1
Ural federal district;Ural federal district;08.05.2020;24;
Volga Federal District;Volga Federal District;08.05.2020;1;1
Volga Federal District;Volga Federal District;08.05.2020;76;
Far Eastern Federal District;Far Eastern Federal District;08.05.2020;40;
Ural federal district;Ural federal district;08.05.2020;32;
Ural federal district;Ural federal district;08.05.2020;42;
North Caucasus Federal District;North Caucasus Federal District;08.05.2020;31;
Far Eastern Federal District;Far Eastern Federal District;08.05.2020;;
Ural federal district;Ural federal district;08.05.2020;36;
Central Federal District;Central Federal District;08.05.2020;58;
Altai region;Siberian Federal District;09.05.2020;20;
Amur region;Far Eastern Federal District;09.05.2020;12;
Arhangelsk region;Northwestern Federal District;09.05.2020;28;
Astrakhan region;Southern Federal District;09.05.2020;44;
Belgorod region;Central Federal District;09.05.2020;46;
Bryansk region;Central Federal District;09.05.2020;23;
Vladimir region;Central Federal District;09.05.2020;42;1
Volgograd region;Southern Federal District;09.05.2020;102;
Vologda Region;Northwestern Federal District;09.05.2020;14;
Voronezh region;Central Federal District;09.05.2020;43;
Jewish Autonomous Region;Far Eastern Federal District;09.05.2020;5;1
Zabaykalsky Krai;Far Eastern Federal District;09.05.2020;10;
Ivanovo region;Central Federal District;09.05.2020;26;3
Irkutsk region;Siberian Federal District;09.05.2020;16;
Kabardino-Balkarian Republic;North Caucasus Federal District;09.05.2020;79;
Kaliningrad region;Northwestern Federal District;09.05.2020;34;
Kaluga region;Central Federal District;09.05.2020;77;1
Kamchatka Krai;Far Eastern Federal District;09.05.2020;10;
Karachay-Cherkess Republic;North Caucasus Federal District;09.05.2020;31;
Kemerovo region;Siberian Federal District;09.05.2020;10;1
Kirov region;Volga Federal District;09.05.2020;43;
Kostroma region;Central Federal District;09.05.2020;10;
Krasnodar region;Southern Federal District;09.05.2020;98;
Krasnoyarsk region;Siberian Federal District;09.05.2020;106;1
Kurgan region;Ural federal district;09.05.2020;6;
Kursk region;Central Federal District;09.05.2020;71;
Leningrad region;Northwestern Federal District;09.05.2020;79;2
Lipetsk region;Central Federal District;09.05.2020;49;
Magadan Region;Far Eastern Federal District;09.05.2020;8;
Moscow;Central Federal District;09.05.2020;5667;54
Moscow region;Central Federal District;09.05.2020;1075;11
Murmansk region;Northwestern Federal District;09.05.2020;18;
